ID.ornitho.ch	ID.Espèce.Biolovision	Espèce	Nom.scientifique	Famille	Date	Jour	Mois	Année	Heure.début	Heure.fin	Commune	Département	Type.de.localisation	Altitude	Nombre
605979	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.38541666666666669	0.39583333333333331	Carbon-Blanc	33	Jardin	29	1
606244	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.4375	0.5	Bouquehault	62	Jardin	79	3
606254	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.375	0.4375	Bouquehault	62	Jardin	82	2
606351	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.5	0.58333333333333337	Andernos-les-Bains	33	Jardin	13	1
606386	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.45833333333333331	0.47916666666666669	Arques	62	Jardin	17	1
606459	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.54166666666666663	0.55208333333333337	Bazas	33	Jardin	100	2
606567	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.58333333333333337	0.625	Léognan	33	Jardin	48	3
608220	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	3
609080	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.375	0.4375	Isbergues	62	Jardin	25	2
609102	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.47222222222222227	0.52777777777777779	Vieil-Moutier	62	Jardin	202	6
619176	371	Mésange bleue	Cyanistes caeruleus	Paridae	18.01.2014	18	1	2014	0.57291666666666663	0.60416666666666663	Saint-Quentin-de-Caplong	33	Jardin	70	2
607532	371	Mésange bleue	Cyanistes caeruleus	Paridae	19.01.2014	19	1	2014	0.39583333333333331	0.41666666666666669	Bazas	33	Jardin	100	3
