date	jour	mois	année	Pas-de-Calais.(62)	Gironde.(33)
42112	18	4	2015	9.42916666666667	12.9354166666667
42113	19	4	2015	8.25416666666666	13.6729166666667
42114	20	4	2015	11.0958333333333	13.4291666666667
42115	21	4	2015	10.6125	16.4333333333333
42116	22	4	2015	9.21666666666667	16.8791666666667
42117	23	4	2015	10.0041666666667	14.5291666666667
42118	24	4	2015	11.3	14.4893617021277
42119	25	4	2015	13.1041666666667	17.34375
42120	26	4	2015	12.0541666666667	16.0208333333333
42121	27	4	2015	9.23333333333333	14.4166666666667
42122	28	4	2015	8.95	12.18125
42123	29	4	2015	9.7875	12.6604166666667
42124	30	4	2015	10.2166666666667	13.48125
42125	1	5	2015	9.12083333333333	15.1020833333333
42126	2	5	2015	11.12	15.9916666666667
42127	3	5	2015	14.2	18.8770833333333
42128	4	5	2015	15.4875	18.3515151515151
42129	5	5	2015	15.2958333333333	16.9833333333333
42130	6	5	2015	12.1833333333333	14.95
42131	7	5	2015	12.7166666666667	16.8416666666667
42132	8	5	2015	15.4958333333333	18.1125
42133	9	5	2015	13.6826086956522	17.45
42134	10	5	2015	15.4086956521739	20.1625
42135	11	5	2015	18.1285714285714	20.65
42136	12	5	2015	14.5260869565217	17.2458333333333
42137	13	5	2015	13.3708333333333	18.7416666666667
42138	14	5	2015	10.3	14.6833333333333
42139	15	5	2015	10.9416666666667	13.6166666666667
42140	16	5	2015	13.3541666666667	15.025
42141	17	5	2015	12.9333333333333	17.4083333333333
42142	18	5	2015	11.4	15.5458333333333
42143	19	5	2015	10.9625	13.5708333333333
42144	20	5	2015	10.875	12.6125
42145	21	5	2015	12.9708333333333	13.6833333333333
42146	22	5	2015	13.7	14.8791666666667
42147	23	5	2015	13.4333333333333	15.4583333333333
42148	24	5	2015	13.6791666666667	18.8833333333333
42149	25	5	2015	13.5208333333333	16.6416666666667
42150	26	5	2015	14.3	16.7833333333333
42151	27	5	2015	14.9	18.9541666666667
42152	28	5	2015	14.3333333333333	18.2458333333333
42153	29	5	2015	11.6708333333333	16.7541666666667
42154	30	5	2015	12.1166666666667	17.0125
42155	31	5	2015	13.5	18.1625
42156	1	6	2015	12.6083333333333	18.0208333333333
42157	2	6	2015	14.3208333333333	19.7166666666667
42158	3	6	2015	14.9958333333333	20.9384615384615
42159	4	6	2015	19.5888888888889	25.8583333333333
42160	5	6	2015	20.1041666666667	23.28125
